,TrialID,ObsNum,IsAlert,P1,P2,P3,P4,P5,P6,P7,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,V1,V2,V3,V4,V5,V6,V8,V10,V11
E6,-0.0344182852744817,-0.0038375843110651626,-0.1891978673437089,-0.004635077523715538,-0.006842851902295941,-0.00450832420775205,0.004229957839495951,-0.006386853636821077,0.011529447635415982,-0.10514833004241904,0.01137950604076041,0.04484747156434546,-0.1655770771244214,0.06005724737440297,0.01447614517145078,1.0,0.2489434963006066,0.0988402769708285,-0.1705023679396041,0.011477257635473808,0.0011270313822404037,-0.04980277298309538,-0.03706813245088638,-0.005844264511773821,0.08672336566175108,0.013194322676110894,-0.043659543979329904,-0.03135925919678053,-0.04678082507299166,-0.009406231592967823
E7,-0.11691855953693082,0.0020045211421298704,-0.3297216784513879,-0.013194013146875991,-0.0020583665173892133,-0.014085799942284665,0.013755472751085799,-0.032576448808938764,-0.006922807181639078,-0.042634019161700676,0.11408342113198054,0.0408895573017055,-0.07535691176528161,-0.2029697763290948,-0.03520237973386015,0.2489434963006066,1.0,0.6359923749010571,-0.7442748568518341,0.31287013082736104,-0.031909643185050546,0.1883317456160727,0.02001037760410218,0.0239653708367746,-0.048397402759739916,-0.05871486564487825,0.18642479654335817,0.12893226182622033,0.15769227733364452,-0.004872901181749937
E8,-0.0954340086351225,0.00940041180354888,-0.2834396158996142,-0.010918475362219376,0.002919987380493838,-0.014135336211306393,0.012958781082216772,-0.04855148540905388,-0.008941000631502957,0.02297272600813697,0.09261083896044964,0.011876217307484489,0.00022610167770555203,-0.11981472533022995,0.021078417237297715,0.0988402769708285,0.6359923749010571,1.0,-0.5945155086480884,0.31118391926518596,-0.01669205835789437,0.20297622513646116,0.03651047047484658,0.02518401707361595,-0.074523349816024,-0.07784869039132446,0.19453804966139884,0.12678993067454494,0.17949261633371225,-0.008761620625694739
E9,0.11698838022224972,-0.0027791190465073527,0.38035253000113456,0.004687677985898121,0.002266323647412892,0.01811288116958757,-0.016614565169862695,0.005176956914120389,-0.005549092305844673,0.04572451152255448,-0.06680050372868065,-0.003061593512747844,0.016520838772530657,0.15619406156901372,0.05740119203910929,-0.1705023679396041,-0.7442748568518341,-0.5945155086480884,1.0,-0.3133599070560637,0.031088562246887195,-0.12928571703593525,-0.009855893461827882,-0.02132265045077488,0.013254756629512478,0.06328118112253496,-0.12877231298195305,-0.09320981603060213,-0.11199723229621146,-0.019344311267925074
E10,-0.10052084976858817,-0.008683523568112604,-0.06705145034736017,0.004549062020687864,0.014588595065135792,-0.013288734783115612,0.0105009368924407,-0.07475289466792355,-0.034470043700968934,0.10992350713279082,0.17686799142393753,-0.0011787314780889043,0.035558646497536255,0.0136678057430573,0.03777800399971986,0.011477257635473808,0.31287013082736104,0.31118391926518596,-0.3133599070560637,1.0,-0.03127701517659566,0.37685006844315894,0.07514335988144188,0.014493428575783862,-0.29268818706509925,-0.1885362863704935,0.36454722815788587,0.22530436521213873,0.32893801934116346,0.0688413940375954
E11,0.07367583598004585,0.004978183221168049,0.07900244044107622,0.015882331700766358,0.001856722485975169,0.007423320283147218,-0.005681429675485528,0.028216477185258573,-0.008939040556102694,0.0848456052523319,-0.08802345117484511,-0.0521301537268136,0.011117193668076914,-0.015727247128525846,0.03955985033925955,0.0011270313822404037,-0.031909643185050546,-0.01669205835789437,0.031088562246887195,-0.03127701517659566,1.0,-0.2737143225889115,-0.009588319485082276,0.02354469355541052,0.056646678021576406,0.10964244165830686,-0.33156269114359715,-0.2762417394571774,-0.1547695835468117,0.023468925547195246
V1,-0.11772805272486625,0.004241823448269361,-0.269966521893559,-0.025762513535110238,0.011310353425312536,-0.011347448943939324,0.010060727235827101,-0.05442813110016362,-0.02444882156588271,-0.04351157134171867,0.4306025043460963,0.0947305015623844,0.015578450826523683,0.002181327545411342,0.07941254664438603,-0.04980277298309538,0.1883317456160727,0.20297622513646116,-0.12928571703593525,0.37685006844315894,-0.2737143225889115,1.0,0.17379618573220454,0.11370984632577372,-0.43565191374292284,-0.3090473565605042,0.937334349032038,0.5723353395994685,0.9107760605992109,-0.09557699582875695
V2,0.0650632860795147,0.01900910692659861,-0.05073959555553021,-0.02111765513076039,0.0017788300153434924,0.008651420555635848,-0.006925889362005171,0.026232495150182614,-0.010418075694223719,0.02584989539548495,0.06899895755381928,0.029369547563338566,-0.04678554590738727,-0.0022484251625472618,0.025036118384130893,-0.03706813245088638,0.02001037760410218,0.03651047047484658,-0.009855893461827882,0.07514335988144188,-0.009588319485082276,0.17379618573220454,1.0,-0.029864504529322006,-0.16468198137355503,-0.4064526685397589,0.17993310199447887,0.10709878313009921,0.15324600419613704,-0.043922115146886154
V3,0.0018995409763262502,0.007753196183839635,-0.0620000250933506,0.0025508995468639475,0.002271773853261428,-0.006379644645821498,0.008048512927078325,0.005371091607139996,-0.004996228892334277,0.007985531854656343,0.0456047525579468,-0.0036519845861613487,0.04873639152192078,-0.007555815435528356,-0.01625230472769089,-0.005844264511773821,0.0239653708367746,0.02518401707361595,-0.02132265045077488,0.014493428575783862,0.02354469355541052,0.11370984632577372,-0.029864504529322006,1.0,0.09480719245560323,0.03493849750879328,0.1105031146355475,0.07825203408192687,0.12866331721925675,-0.0003253647938469995
V4,-0.07431982782780029,-0.0004803900948526274,0.09702216011916244,0.02140426353060837,-0.006038271673918212,0.013044546151480372,-0.010905431761808816,0.07028968416335367,0.01912139445301831,0.03771149551734498,-0.1854843801303239,-0.0605859896034882,0.14057812566829345,0.009404789359282299,-0.1520053352462968,0.08672336566175108,-0.048397402759739916,-0.074523349816024,0.013254756629512478,-0.29268818706509925,0.056646678021576406,-0.43565191374292284,-0.16468198137355503,0.09480719245560323,1.0,0.08728854390947145,-0.4057633937074732,-0.2502645428451315,-0.3861084377377301,0.08157356909357893
V5,0.12372071710436189,-0.006284373888632002,0.05542893224922772,0.05134800951255312,-0.023901764033215814,0.0013124200317246827,0.0017052230744424787,-0.01667065273809068,0.029221525644811706,0.02449910554623155,-0.1144772862604223,0.0014645528910003304,-0.07956273696597663,-0.006332289961073881,-0.033109047626342855,0.013194322676110894,-0.05871486564487825,-0.07784869039132446,0.06328118112253496,-0.1885362863704935,0.10964244165830686,-0.3090473565605042,-0.4064526685397589,0.03493849750879328,0.08728854390947145,1.0,-0.2768368957886955,-0.16243763603158504,-0.2442295728538428,0.03379990144639953
V6,-0.09738919538286124,0.003934539853365517,-0.2441501139353469,-0.019792197437858032,0.010608319665165648,-0.01024520300423202,0.008347876981263344,-0.046352635289358936,-0.025728097342124567,-0.020695848206893845,0.3992144925918167,0.08394608440692548,0.006128768497939319,-0.004936780801113051,0.07838252461544828,-0.043659543979329904,0.18642479654335817,0.19453804966139884,-0.12877231298195305,0.36454722815788587,-0.33156269114359715,0.937334349032038,0.17993310199447887,0.1105031146355475,-0.4057633937074732,-0.2768368957886955,1.0,0.6585443648756877,0.8220764463186432,-0.0896774240940034
V8,-0.04759250042075844,0.008190841179672632,-0.16554998852332173,-0.029747221893120544,0.008257078053312546,-0.007962787125861329,0.005378515332780862,-0.023359285231020103,-0.01685020596368497,-0.008450499774597798,0.22787579016523457,0.044730791680256746,0.012401309368457045,-0.01477902943569751,0.05788442376038408,-0.03135925919678053,0.12893226182622033,0.12678993067454494,-0.09320981603060213,0.22530436521213873,-0.2762417394571774,0.5723353395994685,0.10709878313009921,0.07825203408192687,-0.2502645428451315,-0.16243763603158504,0.6585443648756877,1.0,0.5139561537826054,-0.05631311016657901
V10,-0.09381809495894812,0.005145481485699726,-0.25960724337549596,-0.004563369311053981,0.0019463856018424827,-0.009629502124897958,0.008906013377735039,-0.02219265767074288,-0.002163239950798129,-0.04181375910998376,0.38201302941527404,0.08113253349788022,0.04266608794823868,0.0002641126647147836,0.08384084023807403,-0.04678082507299166,0.15769227733364452,0.17949261633371225,-0.11199723229621146,0.32893801934116346,-0.1547695835468117,0.9107760605992109,0.15324600419613704,0.12866331721925675,-0.3861084377377301,-0.2442295728538428,0.8220764463186432,0.5139561537826054,1.0,-0.055326734430356156
V11,0.07888689356537856,-0.011464722239735988,0.15572172956245112,0.3446364343703233,-0.034247623119693114,-0.00980843585763513,0.009840714528264065,-0.004896526312361685,0.012783357293709937,0.01935963433550967,-0.07039668270080804,-0.06139451824662745,0.1155659294609439,-0.0033111290947090565,-0.0046459028340398644,-0.009406231592967823,-0.004872901181749937,-0.008761620625694739,-0.019344311267925074,0.0688413940375954,0.023468925547195246,-0.09557699582875695,-0.043922115146886154,-0.0003253647938469995,0.08157356909357893,0.03379990144639953,-0.0896774240940034,-0.05631311016657901,-0.055326734430356156,1.0
